Tage,MeinungA
1,1.2
2,2.466666666666667
3,3.2
4,4.2
5,4.733333333333333
6,6.066666666666666
7,6.933333333333334
8,7.733333333333333
9,9.066666666666666
10,10.0
11,10.733333333333333
12,12.066666666666666
13,12.933333333333334
14,13.6
15,14.466666666666667
16,15.066666666666666
17,15.466666666666667
18,15.866666666666667
19,16.2
20,16.733333333333334
21,17.4
22,18.0
23,18.6
24,19.133333333333333
25,19.8
26,20.466666666666665
27,20.8
28,21.4
29,21.933333333333334
30,22.533333333333335
31,23.2
32,24.066666666666666
33,24.6
34,25.0
35,25.466666666666665
36,26.066666666666666
37,26.466666666666665
38,27.0
39,27.4
40,27.866666666666667
41,28.6
42,29.2
43,29.8
44,30.533333333333335
45,30.933333333333334
46,31.133333333333333
47,31.6
48,32.13333333333333
49,32.333333333333336
50,32.6
51,32.8
52,33.2
53,33.53333333333333
54,33.8
55,34.13333333333333
56,34.6
57,35.13333333333333
58,35.333333333333336
59,35.733333333333334
60,35.93333333333333
61,36.333333333333336
62,36.666666666666664
63,36.86666666666667
64,37.13333333333333
65,37.266666666666666
66,37.666666666666664
67,38.13333333333333
68,38.266666666666666
69,38.46666666666667
70,38.666666666666664
71,38.733333333333334
72,38.86666666666667
73,39.0
74,39.06666666666667
75,39.4
76,39.6
77,39.666666666666664
78,39.86666666666667
79,40.06666666666667
80,40.46666666666667
81,40.733333333333334
82,40.93333333333333
83,41.06666666666667
84,41.2
85,41.46666666666667
86,41.666666666666664
87,41.8
88,41.93333333333333
89,42.266666666666666
90,42.46666666666667
91,42.666666666666664
92,43.06666666666667
93,43.06666666666667
94,43.13333333333333
95,43.2
96,43.333333333333336
97,43.666666666666664
98,43.8
99,44.06666666666667
100,44.333333333333336
101,44.333333333333336
102,44.53333333333333
103,44.6
104,44.666666666666664
105,44.86666666666667
106,45.13333333333333
107,45.266666666666666
108,45.53333333333333
109,45.6
110,45.733333333333334
111,45.86666666666667
112,45.86666666666667
113,45.86666666666667
114,45.93333333333333
115,46.13333333333333
116,46.266666666666666
117,46.4
118,46.4
119,46.4
120,46.46666666666667
121,46.53333333333333
122,46.666666666666664
123,46.733333333333334
124,46.733333333333334
125,46.8
126,46.86666666666667
127,47.06666666666667
128,47.06666666666667
129,47.13333333333333
130,47.333333333333336
131,47.333333333333336
132,47.333333333333336
133,47.4
134,47.4
135,47.4
136,47.4
137,47.46666666666667
138,47.6
139,47.666666666666664
140,47.733333333333334
141,47.733333333333334
142,47.86666666666667
143,47.86666666666667
144,47.86666666666667
145,47.86666666666667
146,47.93333333333333
147,47.93333333333333
148,48.06666666666667
149,48.06666666666667
150,48.06666666666667
151,48.13333333333333
152,48.13333333333333
153,48.13333333333333
154,48.2
155,48.266666666666666
156,48.333333333333336
157,48.46666666666667
158,48.53333333333333
159,48.53333333333333
160,48.53333333333333
161,48.53333333333333
162,48.53333333333333
163,48.6
164,48.6
165,48.666666666666664
166,48.666666666666664
167,48.666666666666664
168,48.666666666666664
169,48.666666666666664
170,48.666666666666664
171,48.666666666666664
172,48.733333333333334
173,48.733333333333334
174,48.733333333333334
175,48.733333333333334
176,48.733333333333334
177,48.733333333333334
178,48.733333333333334
179,48.733333333333334
180,48.733333333333334
181,48.733333333333334
182,48.8
183,48.8
184,48.8
185,48.8
186,48.8
187,48.8
188,48.8
189,48.86666666666667
190,49.0
191,49.0
192,49.0
193,49.0
194,49.0
195,49.0
196,49.0
197,49.0
198,49.0
199,49.0
200,49.06666666666667
